epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.089312590658664703,0.25975856184959412,0.073438152670860291,0.23414617776870728
1,0.087902233004570007,0.25757887959480286,0.07343776524066925,0.23414528369903564
2,0.088496215641498566,0.25900760293006897,0.073437340557575226,0.23414422571659088
3,0.087792366743087769,0.25755599141120911,0.073436923325061798,0.23414324223995209
4,0.08827635645866394,0.25851845741271973,0.07343648374080658,0.23414218425750732
5,0.08768501877784729,0.25797224044799805,0.073436155915260315,0.23414142429828644
6,0.089073963463306427,0.25924393534660339,0.073435701429843903,0.23414029181003571
7,0.088108323514461517,0.2574152946472168,0.073435328900814056,0.23413942754268646
8,0.088731966912746429,0.25879162549972534,0.073434896767139435,0.23413841426372528
9,0.088768228888511658,0.25934946537017822,0.073434524238109589,0.23413753509521484
10,0.088538132607936859,0.25940337777137756,0.073434136807918549,0.23413659632205963
11,0.088592201471328735,0.25852012634277344,0.073433712124824524,0.23413556814193726
12,0.088843703269958496,0.25937387347221375,0.073433279991149902,0.23413452506065369
13,0.088092729449272156,0.25843486189842224,0.073432847857475281,0.23413348197937012
14,0.089143611490726471,0.25931838154792786,0.073432408273220062,0.23413233458995819
15,0.088712178170681,0.25960958003997803,0.073432035744190216,0.23413144052028656
16,0.088660664856433868,0.25871202349662781,0.073431670665740967,0.23413057625293732
17,0.08909875899553299,0.25931686162948608,0.073431320488452911,0.23412972688674927
18,0.088033109903335571,0.25806629657745361,0.073430925607681274,0.23412877321243286
19,0.088641084730625153,0.25972038507461548,0.073430471122264862,0.23412767052650452
20,0.088439211249351501,0.25886887311935425,0.073430001735687256,0.2341264933347702
21,0.088462859392166138,0.2581666111946106,0.073429599404335022,0.2341255247592926
22,0.08864680677652359,0.25903806090354919,0.073429204523563385,0.234124556183815
23,0.088942050933837891,0.2590441107749939,0.073428764939308167,0.23412343859672546
24,0.088100634515285492,0.2584095299243927,0.07342827320098877,0.23412215709686279
25,0.088712207973003387,0.25937375426292419,0.073427841067314148,0.23412114381790161
26,0.088207244873046875,0.25858882069587708,0.073427431285381317,0.23412019014358521
27,0.089875325560569763,0.26050582528114319,0.073427073657512665,0.23411935567855835
28,0.089196041226387024,0.25969782471656799,0.073426634073257446,0.23411828279495239
29,0.088545657694339752,0.25792607665061951,0.073426142334938049,0.2341170459985733
30,0.089378796517848969,0.26014745235443115,0.073425732553005219,0.23411604762077332
