epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.15435808897018433,0.32037660479545593,0.10056181997060776,0.27034187316894531
1,0.15331056714057922,0.32227247953414917,0.098614603281021118,0.26816308498382568
2,0.16284358501434326,0.33614322543144226,0.09655732661485672,0.26586315035820007
3,0.15175993740558624,0.32099971175193787,0.094911456108093262,0.26399880647659302
4,0.15451985597610474,0.3182520866394043,0.093286804854869843,0.26216554641723633
5,0.16362658143043518,0.33141857385635376,0.092135630548000336,0.26079860329627991
6,0.15152153372764587,0.31725746393203735,0.090843938291072845,0.25918623805046082
7,0.14995761215686798,0.31422027945518494,0.089149005711078644,0.25691866874694824
8,0.1540241539478302,0.32421892881393433,0.088549502193927765,0.2561308741569519
9,0.16716989874839783,0.33627945184707642,0.088115639984607697,0.25555106997489929
10,0.15871855616569519,0.32116085290908813,0.087588727474212646,0.25482729077339172
11,0.14692108333110809,0.30964776873588562,0.08638443797826767,0.2530866265296936
12,0.15951241552829742,0.326191246509552,0.085665583610534668,0.25206318497657776
13,0.147673100233078,0.30923250317573547,0.085160166025161743,0.25130742788314819
14,0.1505732387304306,0.31862014532089233,0.084554262459278107,0.25035390257835388
15,0.14567592740058899,0.31654474139213562,0.08390326052904129,0.24933421611785889
16,0.14796644449234009,0.31474447250366211,0.083555825054645538,0.24877901375293732
17,0.16017982363700867,0.3271624743938446,0.083126641809940338,0.2480572909116745
18,0.15005263686180115,0.31842458248138428,0.082859113812446594,0.24760037660598755
19,0.15785801410675049,0.32340779900550842,0.082549750804901123,0.24715021252632141
20,0.15318502485752106,0.32138845324516296,0.082414507865905762,0.24695016443729401
21,0.15082205832004547,0.31755101680755615,0.082113668322563171,0.24648261070251465
22,0.13970343768596649,0.30342897772789001,0.081647209823131561,0.24570022523403168
23,0.15004655718803406,0.31564852595329285,0.081550680100917816,0.24554508924484253
24,0.16395138204097748,0.33376944065093994,0.081209048628807068,0.24499087035655975
25,0.15555998682975769,0.32749196887016296,0.080982096493244171,0.24462482333183289
26,0.16585354506969452,0.33302119374275208,0.081003837287425995,0.2446601539850235
27,0.15729719400405884,0.3232903778553009,0.080857850611209869,0.24443553388118744
28,0.16465699672698975,0.3331165611743927,0.081017091870307922,0.24468226730823517
29,0.16159102320671082,0.33673536777496338,0.081078842282295227,0.24479736387729645
30,0.16537114977836609,0.33771193027496338,0.081192605197429657,0.24499687552452087
31,0.14205086231231689,0.30898377299308777,0.081003829836845398,0.24467994272708893
32,0.15128162503242493,0.32276672124862671,0.080707021057605743,0.24421036243438721
33,0.14942666888237,0.31990790367126465,0.080824814736843109,0.24439933896064758
34,0.15961082279682159,0.32800960540771484,0.080590173602104187,0.24402569234371185
35,0.15582776069641113,0.31784975528717041,0.080510534346103668,0.24389559030532837
36,0.16064000129699707,0.33065897226333618,0.080484680831432343,0.24385654926300049
37,0.15607024729251862,0.32202616333961487,0.080401666462421417,0.24371720850467682
38,0.14786115288734436,0.31320369243621826,0.080189518630504608,0.24335047602653503
